Entry	Entry name	Gene names  (ordered locus )	Active site
P0AB74	KBAY_ECOLI	b3137 JW3106	ACT_SITE 82;  /note="Proton donor";  /evidence="ECO:0000269|PubMed:11940603"
P0A794	PDXJ_ECOLI	b2564 JW2548	ACT_SITE 45;  /note="Proton acceptor"; ACT_SITE 72;  /note="Proton acceptor"; ACT_SITE 193;  /note="Proton donor"
P0A796	PFKA_ECOLI	b3916 JW3887	ACT_SITE 128;  /note="Proton acceptor";  /evidence="ECO:0000255|HAMAP-Rule:MF_00339, ECO:0000269|PubMed:2953977, ECO:0000269|PubMed:2975709"
P77366	PGMB_ECOLI	b1317 JW1310	ACT_SITE 11;  /note="Proton donor";  /evidence="ECO:0000250"
P24207	PHEP_ECOLI	b0576 JW0565	
P40191	PDXK_ECOLI	b2418 JW2411	
P15288	PEPD_ECOLI	b0237 JW0227	ACT_SITE 78;  /evidence="ECO:0000250"; ACT_SITE 145;  /note="Proton acceptor";  /evidence="ECO:0000250"
P21165	PEPQ_ECOLI	b3847 JW3823	
P0AFI7	PDXH_ECOLI	b1638 JW1630	
P19624	PDXA_ECOLI	b0052 JW0051	
P0ABF1	PCNB_ECOLI	b0143 JW5808	ACT_SITE 80;  /evidence="ECO:0000255|HAMAP-Rule:MF_00957"; ACT_SITE 82;  /evidence="ECO:0000255|HAMAP-Rule:MF_00957"; ACT_SITE 162;  /evidence="ECO:0000255|HAMAP-Rule:MF_00957"
P77172	PDEF_ECOLI	b2503 JW2488	
P21514	PDEL_ECOLI	b0315 JW0307	
P0A7A7	PLSB_ECOLI	b4041 JW4001	
P69924	RIR2_ECOLI	b2235 JW2229	ACT_SITE 123
P0A9T0	SERA_ECOLI	b2913 JW2880	ACT_SITE 240; ACT_SITE 269; ACT_SITE 292;  /note="Proton donor"
P0A9V8	SQUU_ECOLI	b3882 JW3853	ACT_SITE 171;  /evidence="ECO:0000255|HAMAP-Rule:MF_01913, ECO:0000305|Ref.6"
P0A832	SSRP_ECOLI	b2620 JW2601	
P21507	SRMB_ECOLI	b2576 JW2560	
P00956	SYI_ECOLI	b0026 JW0024	
P0A8F8	UVRB_ECOLI	b0779 JW0762	
P03018	UVRD_ECOLI	b3813 JW3786	
P60472	UPPS_ECOLI	b0174 JW0169	ACT_SITE 26; ACT_SITE 74;  /note="Proton acceptor";  /evidence="ECO:0000250"
P43672	UUP_ECOLI	b0949 JW0932	
P0A698	UVRA_ECOLI	b4058 JW4019	
P0A8F0	UPP_ECOLI	b2498 JW2483	
P56976	BLR_ECOLI	b4409 JW5963	
P0A6E9	BIOD2_ECOLI	b1593 JW5264	ACT_SITE 38;  /evidence="ECO:0000255|HAMAP-Rule:MF_00336"
P0AE63	CHAB_ECOLI	b1217 JW1208	
P30192	INSZ_ECOLI	b4573 JW1227/JW5883	
P27294	INAA_ECOLI	b2237 JW2231	
P0AD86	LPT_ECOLI	b0001 JW4367	
P0ADF3	LPRH_ECOLI	b3782 JW3755	
P37095	PEPB_ECOLI	b2523 JW2507	ACT_SITE 207;  /evidence="ECO:0000255|HAMAP-Rule:MF_00504"; ACT_SITE 281;  /evidence="ECO:0000255|HAMAP-Rule:MF_00504"
P36938	PGM_ECOLI	b0688 JW0675	ACT_SITE 146;  /note="Phosphoserine intermediate";  /evidence="ECO:0000250|UniProtKB:P00949"
P0A7C6	PEPE_ECOLI	b4021 JW3981	ACT_SITE 120;  /note="Charge relay system";  /evidence="ECO:0000255|HAMAP-Rule:MF_00510"; ACT_SITE 135;  /note="Charge relay system";  /evidence="ECO:0000255|HAMAP-Rule:MF_00510"; ACT_SITE 157;  /note="Charge relay system";  /evidence="ECO:0000255|HAMAP-Rule:MF_00510"
P69434	PGAA_ECOLI	b1024 JW1010	
P75906	PGAB_ECOLI	b1023 JW5142	
P75905	PGAC_ECOLI	b1022 JW1007	
P77528	PEAD_ECOLI	b4508	
P69432	PGAD_ECOLI	b1021 JW1006	
P25906	PDXI_ECOLI	b1406 JW1403	ACT_SITE 59;  /note="Proton donor";  /evidence="ECO:0000250"
P60782	PLSY_ECOLI	b3059 JW3031	
P29745	PEPT_ECOLI	b1127 JW1113	ACT_SITE 80;  /evidence="ECO:0000250"; ACT_SITE 173;  /note="Proton acceptor";  /evidence="ECO:0000250"
P05459	PDXB_ECOLI	b2320 JW2317	ACT_SITE 208;  /evidence="ECO:0000255|HAMAP-Rule:MF_01825"; ACT_SITE 237;  /evidence="ECO:0000255|HAMAP-Rule:MF_01825"; ACT_SITE 254;  /note="Proton donor";  /evidence="ECO:0000255|HAMAP-Rule:MF_01825"
P23842	PDEA_ECOLI	b2395 JW5391	
P77473	PDEB_ECOLI	b0457 JW5062	
P32701	PDEC_ECOLI	b4061 JW4022	
P76261	PDED_ECOLI	b1815 JW1804	
P75995	PDEG_ECOLI	b1168 JW5174	
P37646	PDEH_ECOLI	b3525 JW3493	
P75800	PDEI_ECOLI	b0833 JW0817	
P37649	PDEK_ECOLI	b3529 JW5943	
P76446	PDEN_ECOLI	b2176 JW2164	
P77334	PDER_ECOLI	b1285 JW1278	
P0ACL9	PDHR_ECOLI	b0113 JW0109	
Q46806	PHYDA_ECOLI	b2873 JW2841	
P76002	PLIG_ECOLI	b1178 JW1167	
P27247	PLSX_ECOLI	b1090 JW5156	
P52647	NIFJ_ECOLI	b1378 JW1372	
P37590	PMRD_ECOLI	b2259 JW2254	
G3MTW7	PMRR_ECOLI	b4703 JW4072.1	
P0AC86	PHSG_ECOLI	b3428 JW3391	
P23830	PSS_ECOLI	b2585 JW2569	
